Hortiboletus_001	omdl_mo_524287|ITS|PX094092.1
Hortiboletus_002	inaturalist_232267416|ITS|PX064173.1
Hortiboletus_003	omdl_inat_132136137|ITS|PV995566.1
Hortiboletus_004	sfc20240803_02hnibrfg10203|ITS|PV187323.1
Hortiboletus_005	flas_f_61506|ITS|MH211937.1
Hortiboletus_006	flas_f_60513|ITS|MH211664.1
Hortiboletus_007	flas_f_60503|ITS|MH211661.1
Hortiboletus_008	fds_ca_02412|ITS|PQ298316.1
Hortiboletus_009	hay_f_004236|ITS|PP971225.1
Hortiboletus_010	hay_f_005479|ITS|PP578058.1
Hortiboletus_011	omdl_inat_209320834|ITS|PQ678603.1
Hortiboletus_012	omdl_k._canan_inaturalist_180836036|ITS|PQ256320.1
Hortiboletus_013	flas_f_72856|ITS|PP850649.1
Hortiboletus_014	omdl_inat_69895981|ITS|PP791150.1
Hortiboletus_015	omdl_inat_180935693|ITS|PP156339.1
Hortiboletus_016	omdl_inat_173105912|ITS|OR882636.1
Hortiboletus_017	omdl_inat_165432073|ITS|OR825553.1
Hortiboletus_018	dai_26802|ITS|PV715465.1
Hortiboletus_019	s._d._russell_inat_249937375|ITS|PV704728.1
Hortiboletus_020	gk4141|ITS|PV094864.1
Hortiboletus_021	mcve25582|ITS|PV094862.1
Hortiboletus_022	al_22_91|ITS|PV094860.1
Hortiboletus_023	al_22_75|ITS|PV094859.1
Hortiboletus_024	vgy_2018_07_21_1|ITS|PV094855.1
Hortiboletus_025	o_f_168828|ITS|PV094854.1
Hortiboletus_026	o_f_76041|ITS|PV094853.1
Hortiboletus_027	mg781|ITS|PV094852.1
Hortiboletus_028	mcve31743|ITS|PV094851.1
Hortiboletus_029	le_f_265201|ITS|PV094850.1
Hortiboletus_030	k_m001435676|ITS|PV094849.1
Hortiboletus_031	k_m000168971_clone_3|ITS|PV094848.1
Hortiboletus_032	k_m000168971_clones_1_2|ITS|PV094847.1
Hortiboletus_033	k_m000167799_clone_2|ITS|PV094846.1
Hortiboletus_034	k_m000167799_clone_1|ITS|PV094845.1
Hortiboletus_035	jam0556|ITS|PV094844.1
Hortiboletus_036	jam0224|ITS|PV094843.1
Hortiboletus_037	gs10512|ITS|PV094842.1
Hortiboletus_038	mcve18231|ITS|PV094841.1
Hortiboletus_039	gs1424_clone_2|ITS|PV094840.1
Hortiboletus_040	gs1424_clone_1|ITS|PV094839.1
Hortiboletus_041	gk6705|ITS|PV094838.1
Hortiboletus_042	gk6074|ITS|PV094837.1
Hortiboletus_043	db_2022_06_29_3|ITS|PV094836.1
Hortiboletus_044	at2005022|ITS|PV094835.1
Hortiboletus_045	at2004285|ITS|PV094834.1
Hortiboletus_046	at2003134|ITS|PV094833.1
Hortiboletus_047	at2001124|ITS|PV094832.1
Hortiboletus_048	at1998115_clone_2|ITS|PV094831.1
Hortiboletus_049	at1998115_clone_1|ITS|PV094830.1
Hortiboletus_050	at1998046_clone_3|ITS|PV094829.1
Hortiboletus_051	at1998046_clone_2|ITS|PV094828.1
Hortiboletus_052	at1998046_clone_1|ITS|PV094827.1
Hortiboletus_053	al_13_125|ITS|PV094826.1
Hortiboletus_054	at1998122|ITS|PV094825.1
Hortiboletus_055	tur_a_209577|ITS|PV094824.1
Hortiboletus_056	tur_a_209576|ITS|PV094823.1
Hortiboletus_057	le_f_332232|ITS|PV094822.1
Hortiboletus_058	ld_1213132|ITS|PV094821.1
Hortiboletus_059	k_m001435697|ITS|PV094820.1
Hortiboletus_060	k_m001435694|ITS|PV094819.1
Hortiboletus_061	k_m000170839|ITS|PV094818.1
Hortiboletus_062	k_m000170238|ITS|PV094817.1
Hortiboletus_063	k_m000167271|ITS|PV094816.1
Hortiboletus_064	k_m000167206|ITS|PV094815.1
Hortiboletus_065	jam0611|ITS|PV094814.1
Hortiboletus_066	jam0605|ITS|PV094813.1
Hortiboletus_067	jam0591|ITS|PV094812.1
Hortiboletus_068	jam0547|ITS|PV094811.1
Hortiboletus_069	ib19990917|ITS|PV094810.1
Hortiboletus_070	gs10848|ITS|PV094809.1
Hortiboletus_071	gs10410|ITS|PV094808.1
Hortiboletus_072	gs10409|ITS|PV094807.1
Hortiboletus_073	gs10273|ITS|PV094806.1
Hortiboletus_074	gs10138|ITS|PV094805.1
Hortiboletus_075	mcve18267|ITS|PV094804.1
Hortiboletus_076	gk11644|ITS|PV094803.1
Hortiboletus_077	gk9736|ITS|PV094802.1
Hortiboletus_078	gk8378|ITS|PV094801.1
Hortiboletus_079	gk8287|ITS|PV094800.1
Hortiboletus_080	gk6124|ITS|PV094799.1
Hortiboletus_081	fp_2016_06_06|ITS|PV094798.1
Hortiboletus_082	ep05_m224|ITS|PV094797.1
Hortiboletus_083	db_2022_06_12_3|ITS|PV094796.1
Hortiboletus_084	at2003001|ITS|PV094795.1
Hortiboletus_085	at1998037|ITS|PV094794.1
Hortiboletus_086	at1998032|ITS|PV094793.1
Hortiboletus_087	at1994006|ITS|PV094792.1
Hortiboletus_088	al_21_73|ITS|PV094791.1
Hortiboletus_089	al_15_56|ITS|PV094790.1
Hortiboletus_090	acam2012_105|ITS|PV094789.1
Hortiboletus_091	tur_a_209575|ITS|PV094788.1
Hortiboletus_092	tur_a_209574|ITS|PV094787.1
Hortiboletus_093	tur_a_209256|ITS|PV094786.1
Hortiboletus_094	o_f_307797|ITS|PV094785.1
Hortiboletus_095	o_f_270491|ITS|PV094784.1
Hortiboletus_096	o_f_254512|ITS|PV094783.1
Hortiboletus_097	o_f_248341|ITS|PV094782.1
Hortiboletus_098	o_f_204266|ITS|PV094781.1
Hortiboletus_099	o_f_67109|ITS|PV094780.1
Hortiboletus_100	le_f_332080|ITS|PV094779.1
Hortiboletus_101	le_f_332079|ITS|PV094778.1
Hortiboletus_102	le_f_332078|ITS|PV094777.1
Hortiboletus_103	le_f_332077|ITS|PV094776.1
Hortiboletus_104	le_f_332075|ITS|PV094775.1
Hortiboletus_105	le_f_315962|ITS|PV094774.1
Hortiboletus_106	le_f_315839|ITS|PV094773.1
Hortiboletus_107	le_f_315838|ITS|PV094772.1
Hortiboletus_108	le_f_254151|ITS|PV094771.1
Hortiboletus_109	le_f_254144|ITS|PV094770.1
Hortiboletus_110	l0069896_clone_2|ITS|PV094769.1
Hortiboletus_111	l0069896_clone_1|ITS|PV094768.1
Hortiboletus_112	l0053449_clone_2|ITS|PV094767.1
Hortiboletus_113	l0053449_clone_1|ITS|PV094766.1
Hortiboletus_114	k_m001435682|ITS|PV094765.1
Hortiboletus_115	k_m000172000|ITS|PV094764.1
Hortiboletus_116	k_m000168095|ITS|PV094763.1
Hortiboletus_117	jam0593_clone_3|ITS|PV094762.1
Hortiboletus_118	jam0593_clone_2|ITS|PV094761.1
Hortiboletus_119	jam0593_clone_1|ITS|PV094760.1
Hortiboletus_120	h6045679|ITS|PV094759.1
Hortiboletus_121	h6036888|ITS|PV094758.1
Hortiboletus_122	gs10506|ITS|PV094757.1
Hortiboletus_123	gs10414|ITS|PV094756.1
Hortiboletus_124	gk3993|ITS|PV094755.1
Hortiboletus_125	db5078|ITS|PV094754.1
Hortiboletus_126	at2002036|ITS|PV094753.1
Hortiboletus_127	al_14_19|ITS|PV094752.1
Hortiboletus_128	al_12_28|ITS|PV094751.1
Hortiboletus_129	k_m001436710|ITS|PV094750.1
Hortiboletus_130	k_m001435699|ITS|PV094749.1
Hortiboletus_131	mich10015|ITS|PV036238.1
Hortiboletus_132	mich10035_copy_2|ITS|PV036237.1
Hortiboletus_133	mich10035_copy_1|ITS|PV036236.1
Hortiboletus_134	mich4999|ITS|PV036235.1
Hortiboletus_135	mich10011|ITS|PV036234.1
Hortiboletus_136	mich10015|ITS|PV036233.1
Hortiboletus_137	mich10035_copy_2|ITS|PV036232.1
Hortiboletus_138	mich10035_copy_1|ITS|PV036231.1
Hortiboletus_139	mich4999|ITS|PV036230.1
Hortiboletus_140	mich10011|ITS|PV036229.1
Hortiboletus_141	k_m001435677|ITS|PV030533.1
Hortiboletus_142	k_m001435706|ITS|PV030532.1
Hortiboletus_143	k_m001435708|ITS|PV030531.1
Hortiboletus_144	k_m001435704|ITS|PV030530.1
Hortiboletus_145	k_m001435698|ITS|PV030529.1
Hortiboletus_146	k_m001435594|ITS|PV030528.1
Hortiboletus_147	k_m001435678|ITS|PV030527.1
Hortiboletus_148	saf1994|ITS|PV030526.1
Hortiboletus_149	ib1997735|ITS|PV030525.1
Hortiboletus_150	hkas114731|ITS|MZ426231.1
Hortiboletus_151	omdl_inat_171101119|ITS|OR824598.1
Hortiboletus_152	omdl_inat_177361992|ITS|PV534761.1
Hortiboletus_153	omdl_inat_180076059|ITS|PP574113.1
Hortiboletus_154	omdl_inat_182899477|ITS|PP574057.1
Hortiboletus_155	omdl_inat_180516778|ITS|PP436628.1
Hortiboletus_156	omdl_inat_173995916|ITS|PP156414.1
Hortiboletus_157	dai_26430|ITS|PQ167131.1
Hortiboletus_158	dai_26429|ITS|PQ167130.1
Hortiboletus_159	jlf6664_nm_inaturalist_263954057|ITS|PV299588.1
Hortiboletus_160	omdl_inat_174585624|ITS|OR825652.1
Hortiboletus_161	omdl_inat_176803372|ITS|OR987157.1
Hortiboletus_162	jlf10972_inaturalist_145401700|ITS|PV133113.1
Hortiboletus_163	hkas_133611|ITS|PV124072.1
Hortiboletus_164	hkas_133610|ITS|PV124071.1
Hortiboletus_165	jlf11106_inaturalist_145678564|ITS|PV122078.1
Hortiboletus_166	jlf11018_inaturalist_145443239|ITS|PV122077.1
Hortiboletus_167	jlf10977_inaturalist_145402301|ITS|PV122076.1
Hortiboletus_168	jlf10996_inaturalist_145441320|ITS|PV112565.1
Hortiboletus_169	hfrg_cw220914_1|ITS|PV031058.1
Hortiboletus_170	le_f_330285|ITS|PQ881667.1
Hortiboletus_171	swat003365|ITS|PQ870311.1
Hortiboletus_172	lm2599|ITS|PP680226.1
Hortiboletus_173	sh31_2024b|ITS|PQ809777.1
Hortiboletus_174	sh31_2024a|ITS|PQ809776.1
Hortiboletus_175	flas_f_60315|ITS|MF153033.1
Hortiboletus_176	gs2402|ITS|PQ166616.1
Hortiboletus_177	gs2407|ITS|PQ166615.1
Hortiboletus_178	gs08|ITS|PQ166614.1
Hortiboletus_179	lerus:312677|ITS|NR_198137.1
Hortiboletus_180	ss_23|ITS|OR612992.1
Hortiboletus_181	tn201911|ITS|LC832089.1
Hortiboletus_182	omdl_k._canan_inaturalist_185971387|ITS|PQ256335.1
Hortiboletus_183	le_f_315839|ITS|PP317928.1
Hortiboletus_184	le_f_344054|ITS|PP317927.1
Hortiboletus_185	le_f_344053_holotype|ITS|PP317926.1
Hortiboletus_186	le_f_344055|ITS|PP317925.1
Hortiboletus_187	bjtc_fm2692|ITS|OR655156.1
Hortiboletus_188	bjtc_fm2687|ITS|OR655155.1
Hortiboletus_189	bjtc_fm2680|ITS|OR655154.1
Hortiboletus_190	bjtc_fm2660|ITS|OR655153.1
Hortiboletus_191	bjtc_fm2652|ITS|OR655152.1
Hortiboletus_192	bjtc_fm2649|ITS|OR655151.1
Hortiboletus_193	inat174321101|ITS|OR800146.1
Hortiboletus_194	sm333_b210d|ITS|OR567839.1
Hortiboletus_195	sm333_b210c|ITS|OR567838.1
Hortiboletus_196	sm333_b210b|ITS|OR567837.1
Hortiboletus_197	sm333_b210a|ITS|OR567836.1
Hortiboletus_198	jlf11622_inaturalist_173087417|ITS|OR342245.1
Hortiboletus_199	mo460889|ITS|ON134043.1
Hortiboletus_200	mo458368|ITS|ON134040.1
Hortiboletus_201	fhmu:3326|ITS|NR_184923.1
Hortiboletus_202	inaturalist_134899881|ITS|OQ363127.1
Hortiboletus_203	inat66900805|ITS|ON943310.1
Hortiboletus_204	m26|ITS|OQ029275.1
Hortiboletus_205	s.d._russell_ont_mushroom_observer_497200|ITS|OP749312.1
Hortiboletus_206	s.d._russell_ont_mushroom_observer_496814|ITS|OP749307.1
Hortiboletus_207	s.d._russell_ont_inaturalist_129634239|ITS|OP749130.1
Hortiboletus_208	s.d._russell_ont_mushroom_observer_498828|ITS|OP749009.1
Hortiboletus_209	s.d._russell_ont_inaturalist_130722978|ITS|OP643412.1
Hortiboletus_210	s.d._russell_ont_inaturalist_130410231|ITS|OP643350.1
Hortiboletus_211	s.d._russell_ont_inaturalist_129741167|ITS|OP643220.1
Hortiboletus_212	s.d._russell_ont_inaturalist_129621976|ITS|OP643136.1
Hortiboletus_213	s.d._russell_ont_inaturalist_130825283|ITS|OP643031.1
Hortiboletus_214	s.d._russell_ont_inaturalist_130550051|ITS|OP642912.1
Hortiboletus_215	s.d._russell_ont_inaturalist_130006872|ITS|OP642897.1
Hortiboletus_216	arora21856|ITS|OP578225.1
Hortiboletus_217	arora21854|ITS|OP578224.1
Hortiboletus_218	jlf10165|ITS|OP572271.1
Hortiboletus_219	jlf9989|ITS|OP572270.1
Hortiboletus_220	jlf10155|ITS|OP572269.1
Hortiboletus_221	jlf10207|ITS|OP572268.1
Hortiboletus_222	jlf9927|ITS|OP563027.1
Hortiboletus_223	inat55519315|ITS|OK346512.1
Hortiboletus_224	s.d._russell_ont_inaturalist_129866350|ITS|OP470594.1
Hortiboletus_225	s.d._russell_ont_inaturalist_128634755|ITS|OP470497.1
Hortiboletus_226	s.d._russell_ont_inaturalist_128603275|ITS|OP470493.1
Hortiboletus_227	s.d._russell_ont_inaturalist_92226980|ITS|OP455714.1
Hortiboletus_228	pdd:106682|ITS|OP141408.1
Hortiboletus_229	pdd:106723|ITS|OP141407.1
Hortiboletus_230	pdd:105483|ITS|OP141384.1
Hortiboletus_231	mushroom_observer_418487|ITS|ON950120.1
Hortiboletus_232	s.d._russell_mycomap_6338|ITS|MK560106.1
Hortiboletus_233	s.d._russell_mycomap_6328|ITS|MK560102.1
Hortiboletus_234	mushroom_observer_373444_haplotype_2|ITS|ON705314.1
Hortiboletus_235	mushroom_observer_373444_haplotype_1|ITS|ON705313.1
Hortiboletus_236	mich139893|ITS|OM985886.1
Hortiboletus_237	288|ITS|OM972559.1
Hortiboletus_238	243|ITS|OM972514.1
Hortiboletus_239	236|ITS|OM972507.1
Hortiboletus_240	235|ITS|OM972506.1
Hortiboletus_241	233|ITS|OM972504.1
Hortiboletus_242	150|ITS|OM972421.1
Hortiboletus_243	inat:34423971|ITS|OM522247.1
Hortiboletus_244	pul:pul00038197|ITS|OM747646.1
Hortiboletus_245	t1_1|ITS|MZ088076.1
Hortiboletus_246	le3126778|ITS|MW784162.1
Hortiboletus_247	le312677|ITS|MW784161.1
Hortiboletus_248	mushroom_observer_327820_mycoflora_54408|ITS|MW882072.1
Hortiboletus_249	nibrfg0000502792|ITS|MW578955.1
Hortiboletus_250	fhmu3325|ITS|MT646445.1
Hortiboletus_251	fhmu2113|ITS|MT646444.1
Hortiboletus_252	fhmu3329|ITS|MT646443.1
Hortiboletus_253	fhmu3328|ITS|MT646442.1
Hortiboletus_254	fhmu3327|ITS|MT646441.1
Hortiboletus_255	fhmu3326|ITS|MT646440.1
Hortiboletus_256	hal_bp_20|ITS|MT594509.1
Hortiboletus_257	dd614|ITS|MH168538.1
Hortiboletus_258	kr_m_0044351|ITS|MT005978.1
Hortiboletus_259	kr_m_0044799|ITS|MT006029.1
Hortiboletus_260	kr_m_0044796|ITS|MT006028.1
Hortiboletus_261	52a|ITS|MN652008.1
Hortiboletus_262	hfjau_nd154|ITS|MN622755.1
Hortiboletus_263	inat31879606|ITS|MN498119.1
Hortiboletus_264	jlf6662|ITS|MN306135.1
Hortiboletus_265	jlf6654|ITS|MN306134.1
Hortiboletus_266	alv16747|ITS|MK408628.1
Hortiboletus_267	ls15|ITS|MK002767.1
Hortiboletus_268	mushroom_observer_326548|ITS|MH802590.1
Hortiboletus_269	cal:dc_14_002|ITS|NR_154076.1
Hortiboletus_270	dc_14_002|ITS|KT319647.1
Hortiboletus_271	KX816643.1|ITS|KX816643.1
Hortiboletus_272	lah35030|ITS|KX907539.1
Hortiboletus_273	chl22|ITS|KX438318.1
Hortiboletus_274	lah0810|ITS|KJ802929.1
Hortiboletus_275	lah0710|ITS|KJ802928.1
Hortiboletus_276	jmp0013|ITS|EU819460.1
Hortiboletus_277	f:prl5991man|ITS|GQ166879.1
Hortiboletus_278	f:prl5575man|ITS|GQ166888.1
Hortiboletus_279	f:prl5788man|ITS|GQ166883.1
Hortiboletus_280	f:prl5879man|ITS|GQ166876.1
Hortiboletus_281	f:cdw33|ITS|GQ166873.1
