Rubroboletus_001	ss141|ITS|PX070350.1
Rubroboletus_002	omdl_/_vsvc_inat_101980650|ITS|PV607182.1
Rubroboletus_003	hkas114612|ITS|MZ426120.1
Rubroboletus_004	fds_ca_06976|ITS|PV469541.1
Rubroboletus_005	its_vgy_06072020_01_v10|ITS|PV225626.1
Rubroboletus_006	arora21850|ITS|PV017525.1
Rubroboletus_007	arora21841|ITS|PV011985.1
Rubroboletus_008	arora21756|ITS|PV011958.1
Rubroboletus_009	arora21754|ITS|PV011950.1
Rubroboletus_010	jlf9923_inaturalist_105852878|ITS|PV010955.1
Rubroboletus_011	jlf11155|ITS|PQ901954.1
Rubroboletus_012	jlf10718|ITS|PQ901951.1
Rubroboletus_013	rubrobletus_quercicolus_mm01|ITS|PQ878096.1
Rubroboletus_014	rubroboletus_quercicolus_ksa2401|ITS|PQ878095.1
Rubroboletus_015	rubroboletus_quercicolus_swat003366|ITS|PQ878094.1
Rubroboletus_016	f_1382|ITS|PQ653333.1
Rubroboletus_017	f_1377|ITS|PQ653332.1
Rubroboletus_018	fhmu:6928|ITS|NR_198212.1
Rubroboletus_019	hay_f_007695|ITS|PQ061365.1
Rubroboletus_020	hay_f_007166|ITS|PP971161.1
Rubroboletus_021	2113025_ld|ITS|PP455306.1
Rubroboletus_022	PP446632.1|ITS|PP446632.1
Rubroboletus_023	ao_024|ITS|PP333949.1
Rubroboletus_024	bjtc_fm1812|ITS|OR655161.1
Rubroboletus_025	bjtc_fm1784|ITS|OR655160.1
Rubroboletus_026	bjtc_fm1077|ITS|OR655159.1
Rubroboletus_027	zgcsn100|ITS|OQ504748.1
Rubroboletus_028	hkas126557|ITS|OQ888705.1
Rubroboletus_029	hkas90906|ITS|OQ888704.1
Rubroboletus_030	yaas2020_80rs|ITS|OR075201.1
Rubroboletus_031	ibsdm50|ITS|OQ653103.1
Rubroboletus_032	ns4917|ITS|OP630594.1
Rubroboletus_033	ns4846|ITS|OP630593.1
Rubroboletus_034	arora21816|ITS|OP630584.1
Rubroboletus_035	inat34377812|ITS|OK346371.1
Rubroboletus_036	s.d._russell_inaturalist_15126931|ITS|OP541815.1
Rubroboletus_037	jlf10206|ITS|OP536028.1
Rubroboletus_038	fhmu6928|ITS|OM514348.1
Rubroboletus_039	mushroom_observer_477476|ITS|ON359838.1
Rubroboletus_040	fbozok00327|ITS|MK272953.1
Rubroboletus_041	fbozok00143|ITS|MK272936.1
Rubroboletus_042	fbozok00043|ITS|MK272774.1
Rubroboletus_043	fbozok00035|ITS|MK272764.1
Rubroboletus_044	fbozok00019|ITS|MK272763.1
Rubroboletus_045	hkas68620|ITS|MW520195.1
Rubroboletus_046	t3_2|ITS|MZ088081.1
Rubroboletus_047	f3_1|ITS|MZ088072.1
Rubroboletus_048	f1_2|ITS|MZ088071.1
Rubroboletus_049	ubc:f32328|ITS|MZ817035.1
Rubroboletus_050	ubc:f31093|ITS|MZ817031.1
Rubroboletus_051	izs19097028/16_99|ITS|MZ005507.1
Rubroboletus_052	mushroom_observer_327995_mycoflora_54415|ITS|MW882078.1
Rubroboletus_053	17304|ITS|JF908771.1
Rubroboletus_054	sm20a|ITS|MK391937.1
Rubroboletus_055	sm20|ITS|MK391936.1
Rubroboletus_056	prm_921873|ITS|MT497529.1
Rubroboletus_057	jlf4532|ITS|KY713597.1
Rubroboletus_058	jlf4748|ITS|KY713596.1
Rubroboletus_059	jlf4692|ITS|KY713595.1
Rubroboletus_060	jlf6934|ITS|MN263008.1
Rubroboletus_061	jlf6932|ITS|MN263007.1
Rubroboletus_062	hkas:96782|ITS|NR_160330.1
Rubroboletus_063	alv17536|ITS|MK127939.1
Rubroboletus_064	arora15308|ITS|KX610678.1
Rubroboletus_065	arora15307|ITS|KX610677.1
Rubroboletus_066	ml61972sq|ITS|MH011925.1
Rubroboletus_067	ml61018rr|ITS|MH011924.1
Rubroboletus_068	ml41862rr|ITS|MH011921.1
Rubroboletus_069	ml110132yy|ITS|MH011920.1
Rubroboletus_070	ml21112rs|ITS|MH011919.1
Rubroboletus_071	ml219201bq|ITS|MH011917.1
Rubroboletus_072	fr2015609|ITS|MH011908.1
Rubroboletus_073	fr2015607|ITS|MH011907.1
Rubroboletus_074	fr2015606|ITS|MH011906.1
Rubroboletus_075	jmb2012091901|ITS|MH011901.1
Rubroboletus_076	fr2012287|ITS|MH011900.1
Rubroboletus_077	fr2012208|ITS|MH011895.1
Rubroboletus_078	fr2011126|ITS|MH011892.1
Rubroboletus_079	fr2011125|ITS|MH011891.1
Rubroboletus_080	fr2015614|ITS|MH011836.1
Rubroboletus_081	alv15981|ITS|MH540130.1
Rubroboletus_082	prm_921886|ITS|LT797161.1
Rubroboletus_083	jlf5822|ITS|MH203897.1
Rubroboletus_084	jlf5383|ITS|MH203896.1
Rubroboletus_085	hkas:80358|ITS|NR_154409.1
Rubroboletus_086	hui_m.shao_f2|ITS|KY272127.1
Rubroboletus_087	hui_m.shao_f1|ITS|KY272126.1
Rubroboletus_088	k.zhao893|ITS|KY272125.1
Rubroboletus_089	mb_000295|ITS|KY272124.1
Rubroboletus_090	osc_108944|ITS|EU837221.1
Rubroboletus_091	osc_114157|ITS|EU669376.1
Rubroboletus_092	osc_114190|ITS|EU669375.1
Rubroboletus_093	osc_114189|ITS|EU669374.1
Rubroboletus_094	prm_894134_neotype|ITS|LT797165.1
Rubroboletus_095	prm_945076|ITS|LT797164.1
Rubroboletus_096	prm_945070|ITS|LT797163.1
Rubroboletus_097	prm_924881|ITS|LT797162.1
Rubroboletus_098	gs10224|ITS|KY677931.1
Rubroboletus_099	gs10315|ITS|KY677930.1
Rubroboletus_100	gs10285|ITS|KY677929.1
Rubroboletus_101	gs10097|ITS|KY677928.1
Rubroboletus_102	gs10317|ITS|KY677927.1
Rubroboletus_103	gs10308|ITS|KY677926.1
Rubroboletus_104	gs10304|ITS|KY677925.1
Rubroboletus_105	gs10112|ITS|KY677924.1
Rubroboletus_106	gs10400|ITS|KY677923.1
Rubroboletus_107	gs10278|ITS|KY677922.1
Rubroboletus_108	gs10274|ITS|KY677921.1
Rubroboletus_109	gs10244|ITS|KY677920.1
Rubroboletus_110	gs10243|ITS|KY677919.1
Rubroboletus_111	gs10242|ITS|KY677918.1
Rubroboletus_112	arora291|ITS|KT122396.1
Rubroboletus_113	ns1247|ITS|KT122395.1
Rubroboletus_114	jlf2905|ITS|KT122394.1
Rubroboletus_115	jlf1343|ITS|KT122393.1
Rubroboletus_116	dn1714|ITS|KT122391.1
Rubroboletus_117	boes1622|ITS|KT122389.1
Rubroboletus_118	boes1610|ITS|KT122388.1
Rubroboletus_119	fr2013168|ITS|KR782309.1
Rubroboletus_120	fr2012287|ITS|KR782308.1
Rubroboletus_121	fr2011126|ITS|KR782305.1
Rubroboletus_122	fr2011125|ITS|KR782304.1
Rubroboletus_123	luc200411|ITS|HM347663.1
Rubroboletus_124	uf1032|ITS|HM347649.1
Rubroboletus_125	mrno132|ITS|LC068783.1
Rubroboletus_126	hkas_68620|ITS|KJ951991.1
Rubroboletus_127	hkas_80358|ITS|KJ951990.1
Rubroboletus_128	hkas_63517|ITS|KJ951989.1
Rubroboletus_129	hkas56304|ITS|KJ605666.1
Rubroboletus_130	cmc_b.peric_exsicc._dgf/c5d_29_09_09_bs|ITS|JQ685717.1
Rubroboletus_131	tdb1000c|ITS|DQ533973.1
Rubroboletus_132	bs2|ITS|DQ534567.1
Rubroboletus_133	ma_fungi_47703|ITS|AJ419189.1
Rubroboletus_134	ma_fungi_41327|ITS|AJ296294.1
